book_id,mood,writing_style,difficulty_level,reading_level,target_audience,learning_outcomes,skills_covered,recommendation_keywords,fantasy_elements,scifi_elements,themes,keywords,tags,subjects
1,Emotional; Thought-provoking,Narrative; Slow-paced,Intermediate,Adult,General Readers; Students,Empathy; Critical Thinking,,american south; childhood; coming-of-age; fiction; justice; kill; literary; mockingbird; morality; racism,,,American South; childhood; justice; morality; racism,american south; childhood; coming-of-age; fiction; justice; kill; literary; mockingbird; morality; racism,American South; Emotional; Thought-provoking; childhood; justice; morality; racism,American South; childhood; justice; morality; racism
2,Emotional; Thought-provoking,Narrative; Slow-paced,Intermediate,Adult,General Readers; Students,Empathy; Critical Thinking,,1920s; american dream; class; fiction; gatsby; great; literary; love; tragedy; wealth,,,1920s; American Dream; class; love; wealth,1920s; american dream; class; fiction; gatsby; great; literary; love; tragedy; wealth,1920s; American Dream; Emotional; Thought-provoking; class; love; wealth,1920s; American Dream; class; love; wealth
3,Emotional; Thought-provoking,Narrative; Slow-paced,Intermediate,Adult,General Readers; Students,Empathy; Critical Thinking,,beloved; fiction; haunting; historical; literary; memory; motherhood; slavery; trauma,,,haunting; memory; motherhood; slavery; trauma,beloved; fiction; haunting; historical; literary; memory; motherhood; slavery; trauma,Emotional; Thought-provoking; haunting; memory; motherhood; slavery; trauma,haunting; memory; motherhood; slavery; trauma
4,Emotional; Thought-provoking,Narrative; Slow-paced,Intermediate,Adult,General Readers; Students,Empathy; Critical Thinking,,afghanistan; fiction; friendship; guilt; historical; kite; literary; redemption; runner; war,,,Afghanistan; friendship; guilt; redemption; war,afghanistan; fiction; friendship; guilt; historical; kite; literary; redemption; runner; war,Afghanistan; Emotional; Thought-provoking; friendship; guilt; redemption; war,Afghanistan; friendship; guilt; redemption; war
5,Suspenseful; Thrilling,Narrative; Fast-paced,Intermediate,Adult,General Readers; Engineers,Problem Solving; Critical Thinking,,desert survival; dune; ecology; empire; fiction; opera; politics; prophecy; science; space,,,desert survival; ecology; empire; politics; prophecy,desert survival; dune; ecology; empire; fiction; opera; politics; prophecy; science; space,Suspenseful; Thrilling; desert survival; ecology; empire; politics; prophecy,desert survival; ecology; empire; politics; prophecy
6,Suspenseful; Thrilling,Narrative; Fast-paced,Intermediate,Adult,General Readers; Engineers,Problem Solving; Critical Thinking,,fiction; first contact; hail; hard; mary; memory loss; project; sci-fi; science; space travel; survival,,first contact; space travel,first contact; memory loss; science; space travel; survival,fiction; first contact; hail; hard; mary; memory loss; project; sci-fi; science; space travel; survival,Suspenseful; Thrilling; first contact; memory loss; science; space travel; survival,first contact; memory loss; science; space travel; survival
7,Suspenseful; Thrilling,Narrative; Fast-paced,Intermediate,Adult,General Readers; Engineers,Problem Solving; Critical Thinking,,artificial intelligence; corporations; cyberpunk; fiction; hacking; neuromancer; science; virtual reality,,artificial intelligence; cyberpunk; virtual reality,artificial intelligence; corporations; cyberpunk; hacking; virtual reality,artificial intelligence; corporations; cyberpunk; fiction; hacking; neuromancer; science; virtual reality,Suspenseful; Thrilling; artificial intelligence; corporations; cyberpunk; hacking; virtual reality,artificial intelligence; corporations; cyberpunk; hacking; virtual reality
8,Suspenseful; Thrilling,Narrative; Fast-paced,Intermediate,Adult,General Readers; Engineers,Problem Solving; Critical Thinking,Management,alien invasion; childhood; ender; fiction; game; leadership; military; sci-fi; science; strategy; war,,,alien invasion; childhood; leadership; strategy; war,alien invasion; childhood; ender; fiction; game; leadership; military; sci-fi; science; strategy; war,Suspenseful; Thrilling; alien invasion; childhood; leadership; strategy; war,alien invasion; childhood; leadership; strategy; war
9,Mysterious; Inspirational,Narrative; Descriptive,Intermediate,Young Adult,General Readers,Imagination; Personal Growth,,courage; dragons; fantasy; friendship; high; hobbit; mythology; quest,dragons; mythology; quest,,courage; dragons; friendship; mythology; quest,courage; dragons; fantasy; friendship; high; hobbit; mythology; quest,Inspirational; Mysterious; courage; dragons; friendship; mythology; quest,courage; dragons; friendship; mythology; quest
10,Mysterious; Inspirational,Narrative; Descriptive,Intermediate,Young Adult,General Readers,Imagination; Personal Growth,,betrayal; dragons; epic; fantasy; game; politics; power; thrones; war,dragons,,betrayal; dragons; politics; power; war,betrayal; dragons; epic; fantasy; game; politics; power; thrones; war,Inspirational; Mysterious; betrayal; dragons; politics; power; war,betrayal; dragons; politics; power; war
11,Mysterious; Inspirational,Narrative; Descriptive,Intermediate,Young Adult,General Readers,Imagination; Personal Growth,,coming of age; epic; fantasy; legend; magic; music; name; university; wind,magic,,coming of age; legend; magic; music; university,coming of age; epic; fantasy; legend; magic; music; name; university; wind,Inspirational; Mysterious; coming of age; legend; magic; music; university,coming of age; legend; magic; music; university
12,Mysterious; Inspirational,Narrative; Descriptive,Intermediate,Young Adult,General Readers,Imagination; Personal Growth,,circe; fantasy; fiction; gods; independence; mythological; mythology; transformation; witchcraft,gods; mythology; witchcraft,,gods; independence; mythology; transformation; witchcraft,circe; fantasy; fiction; gods; independence; mythological; mythology; transformation; witchcraft,Inspirational; Mysterious; gods; independence; mythology; transformation; witchcraft,gods; independence; mythology; transformation; witchcraft
13,Suspenseful; Dark,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking; Problem Solving,Psychology,crime; deception; girl; gone; marriage; media; mystery/thriller; psychological; psychology; thriller,,,crime; deception; marriage; media; psychology,crime; deception; girl; gone; marriage; media; mystery/thriller; psychological; psychology; thriller,Dark; Suspenseful; crime; deception; marriage; media; psychology,crime; deception; marriage; media; psychology
14,Suspenseful; Dark,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking; Problem Solving,Psychology,murder; mystery/thriller; obsession; patient; psychological; psychology; silence; silent; therapy; thriller,,,murder; obsession; psychology; silence; therapy,murder; mystery/thriller; obsession; patient; psychological; psychology; silence; silent; therapy; thriller,Dark; Suspenseful; murder; obsession; psychology; silence; therapy,murder; obsession; psychology; silence; therapy
15,Suspenseful; Dark,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking; Problem Solving,History,art; code; codes; conspiracy; history; mystery/thriller; religion; thriller; vinci,,,art; codes; conspiracy; history; religion,art; code; codes; conspiracy; history; mystery/thriller; religion; thriller; vinci,Dark; Suspenseful; art; codes; conspiracy; history; religion,art; codes; conspiracy; history; religion
16,Suspenseful; Dark,Fast-paced; Narrative,Intermediate,Adult,General Readers,Critical Thinking; Problem Solving,,childhood trauma; detective; fiction; memory; murder investigation; mystery/thriller; small town; woods,,,childhood trauma; detective; memory; murder investigation; small town,childhood trauma; detective; fiction; memory; murder investigation; mystery/thriller; small town; woods,Dark; Suspenseful; childhood trauma; detective; memory; murder investigation; small town,childhood trauma; detective; memory; murder investigation; small town
17,Romantic; Emotional,Conversational; Narrative,Beginner,Adult,General Readers,Emotional Intelligence; Communication,History,history; love triangle; outlander; romance; scotland; time travel; time-travel; war,,,Scotland; history; love triangle; time travel; war,history; love triangle; outlander; romance; scotland; time travel; time-travel; war,Emotional; Romantic; Scotland; history; love triangle; time travel; war,Scotland; history; love triangle; time travel; war
18,Romantic; Emotional,Conversational; Narrative,Beginner,Adult,General Readers,Emotional Intelligence; Communication,,before; caregiving; choice; contemporary; disability; grief; love; romance,,,caregiving; choice; disability; grief; love,before; caregiving; choice; contemporary; disability; grief; love; romance,Emotional; Romantic; caregiving; choice; disability; grief; love,caregiving; choice; disability; grief; love
19,Romantic; Emotional,Conversational; Narrative,Beginner,Adult,General Readers,Emotional Intelligence; Communication,,banter; comedy; enemies to lovers; game; hating; humor; rivalry; romance; romantic; workplace,,,banter; enemies to lovers; humor; rivalry; workplace,banter; comedy; enemies to lovers; game; hating; humor; rivalry; romance; romantic; workplace,Emotional; Romantic; banter; enemies to lovers; humor; rivalry; workplace,banter; enemies to lovers; humor; rivalry; workplace
20,Romantic; Emotional,Conversational; Narrative,Beginner,Adult,General Readers,Emotional Intelligence; Communication,,contemporary; courage; domestic abuse; ends; family patterns; love; resilience; romance; with,,,courage; domestic abuse; family patterns; love; resilience,contemporary; courage; domestic abuse; ends; family patterns; love; resilience; romance; with,Emotional; Romantic; courage; domestic abuse; family patterns; love; resilience,courage; domestic abuse; family patterns; love; resilience
21,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,History,anthropology; brief; civilization; history; human evolution; humankind; nonfiction; popular; sapiens; science; society,,,anthropology; civilization; history; human evolution; society,anthropology; brief; civilization; history; human evolution; humankind; nonfiction; popular; sapiens; science; society,Educational; Inspirational; anthropology; civilization; history; human evolution; society,anthropology; civilization; history; human evolution; society
22,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,Physics,black holes; brief; cosmology; history; nonfiction; physics; popular; science; time; universe,,,black holes; cosmology; physics; time; universe,black holes; brief; cosmology; history; nonfiction; physics; popular; science; time; universe,Educational; Inspirational; black holes; cosmology; physics; time; universe,black holes; cosmology; physics; time; universe
23,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,Psychology,behavior; cognitive bias; decision making; decision-making; economics; fast; nonfiction; psychology; slow; thinking,,,behavior; cognitive bias; decision making; decision-making; economics; psychology,behavior; cognitive bias; decision making; decision-making; economics; fast; nonfiction; psychology; slow; thinking,Educational; Inspirational; behavior; cognitive bias; decision making; decision-making; economics; psychology,behavior; cognitive bias; decision making; decision-making; economics; psychology
24,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,Productivity,atomic; behavior change; goals; habits; nonfiction; productivity; self-help; self-improvement,,,behavior change; goals; habits; productivity; self-improvement,atomic; behavior change; goals; habits; nonfiction; productivity; self-help; self-improvement,Educational; Inspirational; behavior change; goals; habits; productivity; self-improvement,behavior change; goals; habits; productivity; self-improvement
25,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,,biography; diary; family; girl; hiding; history; holocaust; hope; identity; memoir; world war ii; young,,,Holocaust; World War II; diary; family; hiding; hope,biography; diary; family; girl; hiding; history; holocaust; hope; identity; memoir; world war ii; young,Emotional; Holocaust; Inspirational; World War II; diary; family; hiding; hope; identity,Holocaust; World War II; diary; family; hiding; hope; identity
26,Educational; Inspirational,Academic; Conversational,Intermediate,Adult,Students; Professionals; Researchers,Critical Thinking; History,History,agriculture; anthropology; civilization; colonization; geography; germs; guns; history; inequality; nonfiction; steel,,,agriculture; anthropology; civilization; colonization; geography; history,agriculture; anthropology; civilization; colonization; geography; germs; guns; history; inequality; nonfiction; steel,Educational; Inspirational; agriculture; anthropology; civilization; colonization; geography; history; inequality,agriculture; anthropology; civilization; colonization; geography; history; inequality
27,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,Entrepreneurship; Management; Technology,apple; biography; business; entrepreneurship; innovation; jobs; leadership; steve; technology,,,Apple; entrepreneurship; innovation; leadership; technology,apple; biography; business; entrepreneurship; innovation; jobs; leadership; steve; technology,Apple; Emotional; Inspirational; entrepreneurship; innovation; leadership; technology,Apple; entrepreneurship; innovation; leadership; technology
28,Inspirational; Emotional,Narrative; Conversational,Intermediate,Adult,General Readers; Students,Leadership; Personal Growth,,biography; history; prisoner of war; resilience; sports; survival; unbroken; war; world war ii,,,World War II; prisoner of war; resilience; sports; survival,biography; history; prisoner of war; resilience; sports; survival; unbroken; war; world war ii,Emotional; Inspirational; World War II; prisoner of war; resilience; sports; survival,World War II; prisoner of war; resilience; sports; survival
29,Inspirational; Educational,Conversational; Simple,Beginner,Adult,Professionals; General Readers,Personal Growth; Career,Communication; Management,communication; friends; influence; leadership; people; persuasion; relationships; self-help,,,communication; influence; leadership; persuasion; relationships,communication; friends; influence; leadership; people; persuasion; relationships; self-help,Educational; Inspirational; communication; influence; leadership; persuasion; relationships,communication; influence; leadership; persuasion; relationships
30,Educational; Inspirational,Conversational; Technical,Intermediate,Professional,Professionals; Students,Leadership; Career; Problem Solving,Finance,assets; business; finance; financial literacy; investing; money mindset; personal; personal finance; poor; rich,,,assets; financial literacy; investing; money mindset; personal finance,assets; business; finance; financial literacy; investing; money mindset; personal; personal finance; poor; rich,Educational; Inspirational; assets; financial literacy; investing; money mindset; personal finance,assets; financial literacy; investing; money mindset; personal finance
31,Educational; Inspirational,Conversational; Technical,Intermediate,Professional,Professionals; Students,Leadership; Career; Problem Solving,Entrepreneurship,business; entrepreneurship; innovation; lean; management; product development; startup; startups,,,entrepreneurship; innovation; management; product development; startups,business; entrepreneurship; innovation; lean; management; product development; startup; startups,Educational; Inspirational; entrepreneurship; innovation; management; product development; startups,entrepreneurship; innovation; management; product development; startups
32,Inspirational; Educational,Conversational; Simple,Beginner,Adult,Professionals; General Readers,Personal Growth; Career,Psychology,achievement; grit; motivation; perseverance; psychology; self-help; success,,,achievement; motivation; perseverance; psychology; success,achievement; grit; motivation; perseverance; psychology; self-help; success,Educational; Inspirational; achievement; motivation; perseverance; psychology; success,achievement; motivation; perseverance; psychology; success
33,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; coming of age; contemporary; fault; friendship; illness; love; mortality; romance; stars; young,,,coming of age; friendship; illness; love; mortality,adult; coming of age; contemporary; fault; friendship; illness; love; mortality; romance; stars; young,Emotional; Heartwarming; coming of age; friendship; illness; love; mortality,coming of age; friendship; illness; love; mortality
34,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; dystopia; dystopian; games; hunger; inequality; media; rebellion; survival; young,,,dystopia; inequality; media; rebellion; survival,adult; dystopia; dystopian; games; hunger; inequality; media; rebellion; survival; young,Emotional; Heartwarming; dystopia; inequality; media; rebellion; survival,dystopia; inequality; media; rebellion; survival
35,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; fantasy; friendship; good vs evil; harry; identity; magic; potter; school; sorcerer; stone; young,,,friendship; good vs evil; identity; magic; school,adult; fantasy; friendship; good vs evil; harry; identity; magic; potter; school; sorcerer; stone; young,Emotional; Heartwarming; friendship; good vs evil; identity; magic; school,friendship; good vs evil; identity; magic; school
36,Emotional; Heartwarming,Fast-paced; Conversational,Beginner,Teen,Students; General Readers,Personal Growth; Communication,,adult; fantasy; friendship; gods; identity; jackson; lightning; mythological; mythology; percy; quest; thief; young,,,friendship; gods; identity; mythology; quest,adult; fantasy; friendship; gods; identity; jackson; lightning; mythological; mythology; percy; quest; thief; young,Emotional; Heartwarming; friendship; gods; identity; mythology; quest,friendship; gods; identity; mythology; quest
37,Educational,Narrative,Intermediate,Adult,General Readers,,,animal; animals; charlotte; children's; farm life; fiction; friendship; loyalty; sacrifice,,,animals; farm life; friendship; loyalty; sacrifice,animal; animals; charlotte; children's; farm life; fiction; friendship; loyalty; sacrifice,Educational; animals; farm life; friendship; loyalty; sacrifice,animals; farm life; friendship; loyalty; sacrifice
38,Educational,Narrative,Intermediate,Adult,General Readers,,,adventure; book; children's; emotions; family; imagination; monsters; picture; things; where; wild,,,adventure; emotions; family; imagination; monsters,adventure; book; children's; emotions; family; imagination; monsters; picture; things; where; wild,Educational; adventure; emotions; family; imagination; monsters,adventure; emotions; family; imagination; monsters
39,Educational,Narrative,Intermediate,Adult,General Readers,,,children's; empowerment; family; fantasy; intelligence; justice; matilda; school,,,empowerment; family; intelligence; justice; school,children's; empowerment; family; fantasy; intelligence; justice; matilda; school,Educational; empowerment; family; intelligence; justice; school,empowerment; family; intelligence; justice; school
40,Educational,Narrative,Intermediate,Adult,General Readers,,,book; caterpillar; children's; counting; food; growth; hungry; nature; picture; transformation; very,,,counting; food; growth; nature; transformation,book; caterpillar; children's; counting; food; growth; hungry; nature; picture; transformation; very,Educational; counting; food; growth; nature; transformation,counting; food; growth; nature; transformation
